Mesh_W_DuomoDoorL|0|0|1.169|0.100|28.620|0.000|1.484|0.000|1.000|1.000|1.000
Mesh_W_DuomoDoorR|0|0|-3.386|0.100|28.620|0.000|-1.484|0.000|1.000|1.000|1.000
Mesh_W_SM_Wall_BossDoor|0|0|-6.713|-0.120|28.260|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_Wall_floor|0|0|-4.198|18.230|27.773|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_Wall_floor|0|2|1.800|18.230|27.873|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_Wall_Door_floorup|0|0|-6.723|18.260|28.026|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_PillerDuomoB_st07a1|0|0|5.259|-0.000|27.423|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_PillerDuomoB_st07a1|0|1|5.259|10.000|27.423|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_PillerDuomoB_st07a1|0|2|5.259|20.000|27.423|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_PillerDuomoB_st07a1|0|3|-7.436|20.000|27.423|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_PillerDuomoB_st07a1|0|4|-7.436|10.000|27.423|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_PillerDuomoB_st07a1|0|5|-7.438|0.000|27.423|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_Wall_floor|0|1|-10.192|18.230|27.773|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_WallC_st07a1|0|0|5.245|11.300|29.100|0.000|3.142|0.000|1.000|1.000|1.000
Mesh_W_SM_WallC_st07a1|0|1|-0.750|11.300|29.100|0.000|3.142|0.000|1.000|1.000|1.000
Mesh_W_SM_PillerDuomoA_st07a1|0|4|12.580|0.000|19.855|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_PillerDuomoA_st07a1|0|5|12.580|0.000|12.455|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_PillerDuomoA_st07a1|0|6|12.580|0.000|5.060|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_W_SM_PillerDuomoA_st07a1|0|7|12.425|0.000|-2.435|0.000|0.000|0.000|1.000|1.000|1.000
