Mesh_ARBloodAura01|ARBloodAura01.X|..\..\Client\Resources\Mesh\EffectMesh\ARBloodAura01\|0
Mesh_ARBloodAura02|ARBloodAura02.X|..\..\Client\Resources\Mesh\EffectMesh\ARBloodAura02\|0
Mesh_FloorRing|FloorRing.X|..\..\Client\Resources\Mesh\EffectMesh\FloorRing\|0
Mesh_LineRing_0|LineRing_0.X|..\..\Client\Resources\Mesh\EffectMesh\LineRing\|0
Mesh_LineRing_1|LineRing_1.X|..\..\Client\Resources\Mesh\EffectMesh\LineRing\|0
Mesh_RockBullet|RockBullet.X|..\..\Client\Resources\Mesh\EffectMesh\RockBullet\|0
Mesh_SlashLine|SlashLine.X|..\..\Client\Resources\Mesh\EffectMesh\SlashLine\|0
Mesh_Tornade|Tornade.X|..\..\Client\Resources\Mesh\EffectMesh\Tornade\|0
Mesh_Wind|Wind.X|..\..\Client\Resources\Mesh\EffectMesh\Wind\|0
Mesh_Wind_YRot|Wind_YRot.X|..\..\Client\Resources\Mesh\EffectMesh\Wind_YRot\|0
Mesh_Wind_ZRot|Wind_ZRot.X|..\..\Client\Resources\Mesh\EffectMesh\Wind_ZRot\|0
