Mesh_SM_MERGED_SplineGaia891|0|0|25.948|0.800|-12.686|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_SM_Snowpack02_st09a1|0|0|25.162|0.000|-10.394|0.559|-0.541|0.000|1.000|1.000|1.000
Mesh_SM_Snowpack03_st09a1|0|0|27.835|-0.100|-10.770|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_SM_Snowpack03_st09a1|0|1|24.886|1.100|-12.853|0.524|0.000|0.000|2.000|2.000|2.000
Mesh_SM_Snowpack03_st09a1|0|3|24.797|15.200|-21.524|-0.349|0.000|-0.873|2.000|3.000|3.000
Mesh_SM_Snowpack02_st09a1|0|1|16.468|3.100|-19.657|0.175|2.339|-1.553|1.500|1.500|1.500
Mesh_SM_Snowpack02_st09a1|0|2|21.827|0.000|-13.449|0.471|-0.855|-0.384|1.500|1.500|1.500
Mesh_SM_Snowpack02_st09a1|0|3|18.840|-0.000|-16.727|0.262|-0.401|0.471|2.000|2.000|2.000
Mesh_SM_MERGED_SplineGaia319|0|0|24.739|0.000|-3.944|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_SM_MERGED_SplineGaia199|0|0|21.988|0.000|1.021|0.000|1.745|0.000|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|3|18.574|-0.700|-5.720|-0.017|-0.925|0.052|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|0|9.469|-1.100|-12.778|0.000|1.990|0.000|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|4|3.958|-1.600|-20.229|0.000|0.209|0.122|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|5|4.609|-0.900|-3.141|0.000|-4.782|0.000|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|1|9.523|-0.700|5.078|0.000|2.286|0.000|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|2|-5.652|-2.000|-20.689|0.035|-6.737|0.000|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|6|3.718|-0.400|8.675|0.175|-2.094|-0.157|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|7|-8.433|-1.700|-8.575|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|8|-5.920|-1.500|6.179|0.000|0.000|0.105|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|9|-19.026|-0.800|12.024|0.175|-2.129|-0.157|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|10|-22.083|-1.900|5.675|0.052|0.000|0.000|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|11|-14.215|-1.700|-21.513|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_SM_GroundBase02_st09a1|0|12|-24.363|-1.200|-9.944|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_BossGaia|1|0|15.032|-6.300|13.797|0.000|1.082|0.000|1.000|1.000|1.000
Mesh_BossGaia|1|2|-33.851|-6.000|-0.526|0.000|4.834|0.000|1.000|1.000|1.000
Mesh_BossGaia|1|3|-4.369|-7.000|-28.567|0.017|3.822|0.000|1.000|1.000|1.000
Mesh_BossGaia|1|4|1.232|-10.300|-29.302|0.000|3.526|0.000|1.000|1.000|1.000
Mesh_BossGaia|0|5|7.931|-5.000|18.206|0.000|0.524|0.000|1.000|1.000|1.000
Mesh_BossGaia|0|6|-0.702|-5.000|16.102|0.000|0.000|0.000|1.000|1.000|1.000
Mesh_BossGaia|0|7|-6.905|-5.000|16.760|0.000|0.279|0.000|1.000|1.000|1.000
