Mesh_Wpn_DeerKingShield|Wpn_DeerKingShield.X|..\..\Client\Resources\Mesh\Weapons\Wpn_DeerKingShield\|0
Mesh_Wpn_FrostBlood_IceGirl|Wpn_FrostBlood_IceGirl.X|..\..\Client\Resources\Mesh\Weapons\Wpn_FrostBlood_IceGirl\|0
Mesh_Wpn_Gun|Wpn_Gun.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Gun\|0
Mesh_Wpn_Gun_Black|Wpn_Gun_Black.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Gun_Black\|0
Mesh_Wpn_Gun_Military|Wpn_Gun_Military.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Gun_Military\|0
Mesh_Wpn_Gun_Slave|Wpn_Gun_Slave.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Gun_Slave\|0
Mesh_Wpn_Halberd|Wpn_Halberd.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Halberd\|0
Mesh_Wpn_Halberd_Black|Wpn_Halberd_Black.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Halberd_Black\|0
Mesh_Wpn_Halberd_Military|Wpn_Halberd_Military.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Halberd_Military\|0
Mesh_Wpn_Halberd_Slave|Wpn_Halberd_Slave.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Halberd_Slave\|0
Mesh_Wpn_Hammer|Wpn_Hammer.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Hammer\|0
Mesh_Wpn_Hammer_Black|Wpn_Hammer_Black.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Hammer_Black\|0
Mesh_Wpn_Hammer_Military|Wpn_Hammer_Military.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Hammer_Military\|0
Mesh_Wpn_Hammer_Slave|Wpn_Hammer_Slave.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Hammer_Slave\|0
Mesh_Wpn_LSword|Wpn_LSword.X|..\..\Client\Resources\Mesh\Weapons\Wpn_LSword\|0
Mesh_Wpn_LSword_Black|Wpn_LSword_Black.X|..\..\Client\Resources\Mesh\Weapons\Wpn_LSword_Black\|0
Mesh_Wpn_LSword_Military|Wpn_LSword_Military.X|..\..\Client\Resources\Mesh\Weapons\Wpn_LSword_Military\|0
Mesh_Wpn_LSword_Slave|Wpn_LSword_Slave.X|..\..\Client\Resources\Mesh\Weapons\Wpn_LSword_Slave\|0
Mesh_Wpn_QueenLance|Wpn_QueenLance.X|..\..\Client\Resources\Mesh\Weapons\Wpn_QueenLance\|0
Mesh_Wpn_QueenShield|Wpn_QueenShield.X|..\..\Client\Resources\Mesh\Weapons\Wpn_QueenShield\|0
Mesh_Wpn_Shield|Wpn_Shield.X|..\..\Client\Resources\Mesh\Weapons\Wpn_Shield\|0
Mesh_Wpn_SSword|Wpn_SSword.X|..\..\Client\Resources\Mesh\Weapons\Wpn_SSword\|0
Mesh_Wpn_SSword_Black|Wpn_SSword_Black.X|..\..\Client\Resources\Mesh\Weapons\Wpn_SSword_Black\|0
Mesh_Wpn_SSword_Military|Wpn_SSword_Military.X|..\..\Client\Resources\Mesh\Weapons\Wpn_SSword_Military\|0
Mesh_Wpn_SSword_Slave|Wpn_SSword_Slave.X|..\..\Client\Resources\Mesh\Weapons\Wpn_SSword_Slave\|0
