Mesh_Cocoon_Black|Cocoon_Black.X|..\..\Client\Resources\Mesh\DynamicMesh\Cocoon_Black\|1
Mesh_Cocoon_White|Cocoon_White.X|..\..\Client\Resources\Mesh\DynamicMesh\Cocoon_White\|1
Mesh_DeerKing|DeerKing.X|..\..\Client\Resources\Mesh\DynamicMesh\DeerKing\|1
Mesh_FireBoy|FireBoy.X|..\..\Client\Resources\Mesh\DynamicMesh\FireBoy\|1
Mesh_Genji_Green|Genji_Green.X|..\..\Client\Resources\Mesh\DynamicMesh\Genji_Green\|1
Mesh_Genji_Normal|Genji_Normal.X|..\..\Client\Resources\Mesh\DynamicMesh\Genji_Normal\|1
Mesh_Genji_White|Genji_White.X|..\..\Client\Resources\Mesh\DynamicMesh\Genji_White\|1
Mesh_Hunter_Black|Hunter_Black.X|..\..\Client\Resources\Mesh\DynamicMesh\Hunter_Black\|1
Mesh_IceGirl|IceGirl.X|..\..\Client\Resources\Mesh\DynamicMesh\IceGirl\|1
Mesh_Monkey|Monkey.X|..\..\Client\Resources\Mesh\DynamicMesh\Monkey\|1
Mesh_PoisonButterFly|PoisonButterFly.X|..\..\Client\Resources\Mesh\DynamicMesh\PoisonButterFly\|1
Mesh_QueensKnight|QueensKnight.X|..\..\Client\Resources\Mesh\DynamicMesh\QueensKnight\|1
Mesh_Test_Jack|Test_Jack.X|..\..\Client\Resources\Mesh\DynamicMesh\Test_Jack\|1
Mesh_ThaiMan|ThaiMan.X|..\..\Client\Resources\Mesh\DynamicMesh\ThaiMan\|1
Mesh_Urchin_Black|Urchin_Black.X|..\..\Client\Resources\Mesh\DynamicMesh\Urchin_Black\|1
Mesh_Urchin_White|Urchin_White.X|..\..\Client\Resources\Mesh\DynamicMesh\Urchin_White\|1
Mesh_Wolf_Black|Wolf_Black.X|..\..\Client\Resources\Mesh\DynamicMesh\Wolf_Black\|1
Mesh_Wolf_White|Wolf_White.X|..\..\Client\Resources\Mesh\DynamicMesh\Wolf_White\|1
Mesh_YachaMan_Black|YachaMan_Black.X|..\..\Client\Resources\Mesh\DynamicMesh\YachaMan_Black\|1
Mesh_YachaMan_Red|YachaMan_Red.X|..\..\Client\Resources\Mesh\DynamicMesh\YachaMan_Red\|1
Mesh_Yeti|Yeti.X|..\..\Client\Resources\Mesh\DynamicMesh\Yeti\|1
